,max_protest_time,initial_people,memory_T,contact_frequency,max_threshold,proportion_of_spreaders,dose-unit,Society-Type,red_ones
565,1,300,1,0.25,3,0.1,1,"""Closed""",13
671,1,300,1,0.25,3,0.1,1,"""Closed""",14
696,1,300,1,0.25,3,0.1,1,"""Closed""",14
701,1,300,1,0.25,3,0.1,1,"""Closed""",6
706,1,300,1,0.25,3,0.1,1,"""Closed""",10
749,1,300,1,0.25,3,0.1,1,"""Closed""",11
752,1,300,1,0.25,3,0.1,1,"""Closed""",10
1317,1,300,1,0.25,3,0.1,1,"""Closed""",9
1335,1,300,1,0.25,3,0.1,1,"""Closed""",15
1375,1,300,1,0.25,3,0.1,1,"""Closed""",15
1381,1,300,1,0.25,3,0.1,1,"""Closed""",10
1428,1,300,1,0.25,3,0.1,1,"""Closed""",14
1495,1,300,1,0.25,3,0.1,1,"""Closed""",11
1689,1,300,1,0.25,3,0.1,1,"""Closed""",10
1812,1,300,1,0.25,3,0.1,1,"""Closed""",9
1835,1,300,1,0.25,3,0.1,1,"""Closed""",6
2043,1,300,1,0.25,3,0.1,1,"""Closed""",15
2165,1,300,1,0.25,3,0.1,1,"""Closed""",11
2210,1,300,1,0.25,3,0.1,1,"""Closed""",13
2323,1,300,1,0.25,3,0.1,1,"""Closed""",6
2537,1,300,1,0.25,3,0.1,1,"""Closed""",10
2567,1,300,1,0.25,3,0.1,1,"""Closed""",17
2586,1,300,1,0.25,3,0.1,1,"""Closed""",10
2800,1,300,1,0.25,3,0.1,1,"""Closed""",19
2820,1,300,1,0.25,3,0.1,1,"""Closed""",10
2846,1,300,1,0.25,3,0.1,1,"""Closed""",9
3152,1,300,1,0.25,3,0.1,1,"""Closed""",13
3210,1,300,1,0.25,3,0.1,1,"""Closed""",19
3339,1,300,1,0.25,3,0.1,1,"""Closed""",8
3359,1,300,1,0.25,3,0.1,1,"""Closed""",16
3366,1,300,1,0.25,3,0.1,1,"""Closed""",16
3399,1,300,1,0.25,3,0.1,1,"""Closed""",8
3431,1,300,1,0.25,3,0.1,1,"""Closed""",22
3876,1,300,1,0.25,3,0.1,1,"""Closed""",9
3936,1,300,1,0.25,3,0.1,1,"""Closed""",10
4000,1,300,1,0.25,3,0.1,1,"""Closed""",9
4041,1,300,1,0.25,3,0.1,1,"""Closed""",12
4102,1,300,1,0.25,3,0.1,1,"""Closed""",15
4105,1,300,1,0.25,3,0.1,1,"""Closed""",9
4234,1,300,1,0.25,3,0.1,1,"""Closed""",13
4589,1,300,1,0.25,3,0.1,1,"""Closed""",9
4747,1,300,1,0.25,3,0.1,1,"""Closed""",16
4753,1,300,1,0.25,3,0.1,1,"""Closed""",12
4758,1,300,1,0.25,3,0.1,1,"""Closed""",16
4821,1,300,1,0.25,3,0.1,1,"""Closed""",7
4939,1,300,1,0.25,3,0.1,1,"""Closed""",8
4967,1,300,1,0.25,3,0.1,1,"""Closed""",14
5190,1,300,1,0.25,3,0.1,1,"""Closed""",8
5341,1,300,1,0.25,3,0.1,1,"""Closed""",7
5379,1,300,1,0.5,3,0.1,1,"""Closed""",15
5554,1,300,1,0.5,3,0.1,1,"""Closed""",26
5577,1,300,1,0.5,3,0.1,1,"""Closed""",14
5623,1,300,1,0.5,3,0.1,1,"""Closed""",16
5724,1,300,1,0.5,3,0.1,1,"""Closed""",12
5869,1,300,1,0.5,3,0.1,1,"""Closed""",16
6058,1,300,1,0.5,3,0.1,1,"""Closed""",16
6166,1,300,1,0.5,3,0.1,1,"""Closed""",20
6270,1,300,1,0.5,3,0.1,1,"""Closed""",17
6310,1,300,1,0.5,3,0.1,1,"""Closed""",15
6313,1,300,1,0.5,3,0.1,1,"""Closed""",11
6514,1,300,1,0.5,3,0.1,1,"""Closed""",11
6603,1,300,1,0.5,3,0.1,1,"""Closed""",10
6807,1,300,1,0.5,3,0.1,1,"""Closed""",21
6827,1,300,1,0.5,3,0.1,1,"""Closed""",19
6917,1,300,1,0.5,3,0.1,1,"""Closed""",13
6965,1,300,1,0.5,3,0.1,1,"""Closed""",15
7040,1,300,1,0.5,3,0.1,1,"""Closed""",18
7239,1,300,1,0.5,3,0.1,1,"""Closed""",12
7351,1,300,1,0.5,3,0.1,1,"""Closed""",13
7519,1,300,1,0.5,3,0.1,1,"""Closed""",19
7533,1,300,1,0.5,3,0.1,1,"""Closed""",5
7615,1,300,1,0.5,3,0.1,1,"""Closed""",12
7680,1,300,1,0.5,3,0.1,1,"""Closed""",12
7794,1,300,1,0.5,3,0.1,1,"""Closed""",9
7962,1,300,1,0.5,3,0.1,1,"""Closed""",16
8027,1,300,1,0.5,3,0.1,1,"""Closed""",15
8264,1,300,1,0.5,3,0.1,1,"""Closed""",16
8271,1,300,1,0.5,3,0.1,1,"""Closed""",13
8323,1,300,1,0.5,3,0.1,1,"""Closed""",7
8383,1,300,1,0.5,3,0.1,1,"""Closed""",17
8565,1,300,1,0.5,3,0.1,1,"""Closed""",14
8641,1,300,1,0.5,3,0.1,1,"""Closed""",10
8670,1,300,1,0.5,3,0.1,1,"""Closed""",12
8922,1,300,1,0.5,3,0.1,1,"""Closed""",21
9031,1,300,1,0.5,3,0.1,1,"""Closed""",12
9036,1,300,1,0.5,3,0.1,1,"""Closed""",18
9133,1,300,1,0.5,3,0.1,1,"""Closed""",26
9300,1,300,1,0.5,3,0.1,1,"""Closed""",14
9356,1,300,1,0.5,3,0.1,1,"""Closed""",12
9403,1,300,1,0.5,3,0.1,1,"""Closed""",12
9567,1,300,1,0.5,3,0.1,1,"""Closed""",16
9689,1,300,1,0.5,3,0.1,1,"""Closed""",22
9722,1,300,1,0.5,3,0.1,1,"""Closed""",11
9833,1,300,1,0.5,3,0.1,1,"""Closed""",15
10082,1,300,1,0.5,3,0.1,1,"""Closed""",11
10092,1,300,1,0.5,3,0.1,1,"""Closed""",15
10095,1,300,1,0.5,3,0.1,1,"""Closed""",16
10298,1,300,1,0.5,3,0.1,1,"""Closed""",21
10416,1,300,1,0.5,3,0.1,1,"""Closed""",5
10453,1,300,1,0.75,3,0.1,1,"""Closed""",24
10578,1,300,1,0.75,3,0.1,1,"""Closed""",24
10766,1,300,1,0.75,3,0.1,1,"""Closed""",21
10773,1,300,1,0.75,3,0.1,1,"""Closed""",28
10793,1,300,1,0.75,3,0.1,1,"""Closed""",18
10943,1,300,1,0.75,3,0.1,1,"""Closed""",25
11220,1,300,1,0.75,3,0.1,1,"""Closed""",6
11272,1,300,1,0.75,3,0.1,1,"""Closed""",11
11304,1,300,1,0.75,3,0.1,1,"""Closed""",17
11354,1,300,1,0.75,3,0.1,1,"""Closed""",12
11432,1,300,1,0.75,3,0.1,1,"""Closed""",23
11504,1,300,1,0.25,3,0.1,1,"""Closed""",18
11515,1,300,1,0.75,3,0.1,1,"""Closed""",14
11664,1,300,1,0.75,3,0.1,1,"""Closed""",22
11911,1,300,1,0.75,3,0.1,1,"""Closed""",16
11979,1,300,1,0.75,3,0.1,1,"""Closed""",22
11997,1,300,1,0.75,3,0.1,1,"""Closed""",16
12036,1,300,1,0.75,3,0.1,1,"""Closed""",13
12146,1,300,1,0.75,3,0.1,1,"""Closed""",13
12202,1,300,1,0.75,3,0.1,1,"""Closed""",19
12371,1,300,1,0.75,3,0.1,1,"""Closed""",20
12681,1,300,1,0.75,3,0.1,1,"""Closed""",15
12717,1,300,1,0.75,3,0.1,1,"""Closed""",21
12763,1,300,1,0.75,3,0.1,1,"""Closed""",23
12764,1,300,1,0.75,3,0.1,1,"""Closed""",23
12779,1,300,1,0.75,3,0.1,1,"""Closed""",29
13011,1,300,1,0.75,3,0.1,1,"""Closed""",20
13231,1,300,1,0.75,3,0.1,1,"""Closed""",20
13336,1,300,1,0.75,3,0.1,1,"""Closed""",22
13339,1,300,1,0.75,3,0.1,1,"""Closed""",19
13385,1,300,1,0.75,3,0.1,1,"""Closed""",25
13421,1,300,1,0.75,3,0.1,1,"""Closed""",19
13610,1,300,1,0.75,3,0.1,1,"""Closed""",26
13669,1,300,1,0.75,3,0.1,1,"""Closed""",24
13954,1,300,1,0.75,3,0.1,1,"""Closed""",20
13974,1,300,1,0.75,3,0.1,1,"""Closed""",19
13992,1,300,1,0.75,3,0.1,1,"""Closed""",19
14125,1,300,1,0.75,3,0.1,1,"""Closed""",27
14169,1,300,1,0.75,3,0.1,1,"""Closed""",24
14376,1,300,1,0.75,3,0.1,1,"""Closed""",22
14416,1,300,1,0.75,3,0.1,1,"""Closed""",31
14641,1,300,1,0.75,3,0.1,1,"""Closed""",18
14656,1,300,1,0.75,3,0.1,1,"""Closed""",21
14681,1,300,1,0.75,3,0.1,1,"""Closed""",20
14813,1,300,1,0.75,3,0.1,1,"""Closed""",20
15057,1,300,1,0.75,3,0.1,1,"""Closed""",21
15072,1,300,1,0.75,3,0.1,1,"""Closed""",33
15122,1,300,1,0.75,3,0.1,1,"""Closed""",18
15336,1,300,1,0.75,3,0.1,1,"""Closed""",13
15366,1,300,1,0.75,3,0.1,1,"""Closed""",24
15426,1,300,2,0.25,3,0.1,1,"""Closed""",39
15496,1,300,2,0.25,3,0.1,1,"""Closed""",32
15738,1,300,2,0.25,3,0.1,1,"""Closed""",38
15768,1,300,2,0.25,3,0.1,1,"""Closed""",22
15832,1,300,2,0.25,3,0.1,1,"""Closed""",29
15991,1,300,2,0.25,3,0.1,1,"""Closed""",39
16083,1,300,2,0.25,3,0.1,1,"""Closed""",29
16115,1,300,2,0.25,3,0.1,1,"""Closed""",28
16238,1,300,2,0.25,3,0.1,1,"""Closed""",40
16459,1,300,2,0.25,3,0.1,1,"""Closed""",31
16550,1,300,2,0.25,3,0.1,1,"""Closed""",17
16577,1,300,2,0.25,3,0.1,1,"""Closed""",29
16712,1,300,2,0.25,3,0.1,1,"""Closed""",22
16823,1,300,2,0.25,3,0.1,1,"""Closed""",33
16857,1,300,2,0.25,3,0.1,1,"""Closed""",35
16956,1,300,2,0.25,3,0.1,1,"""Closed""",32
17251,1,300,2,0.25,3,0.1,1,"""Closed""",38
17278,1,300,1,0.75,3,0.1,1,"""Closed""",21
17331,1,300,2,0.25,3,0.1,1,"""Closed""",34
17345,1,300,2,0.25,3,0.1,1,"""Closed""",27
17486,1,300,2,0.25,3,0.1,1,"""Closed""",29
17538,1,300,2,0.25,3,0.1,1,"""Closed""",41
17594,1,300,2,0.25,3,0.1,1,"""Closed""",29
17684,1,300,2,0.25,3,0.1,1,"""Closed""",30
18051,1,300,2,0.25,3,0.1,1,"""Closed""",33
18072,1,300,2,0.25,3,0.1,1,"""Closed""",32
18073,1,300,2,0.25,3,0.1,1,"""Closed""",31
18309,1,300,2,0.25,3,0.1,1,"""Closed""",32
18379,1,300,2,0.25,3,0.1,1,"""Closed""",27
18400,1,300,2,0.25,3,0.1,1,"""Closed""",32
18462,1,300,2,0.25,3,0.1,1,"""Closed""",22
18599,1,300,2,0.25,3,0.1,1,"""Closed""",17
18758,1,300,2,0.25,3,0.1,1,"""Closed""",27
18802,1,300,2,0.25,3,0.1,1,"""Closed""",26
18841,1,300,2,0.25,3,0.1,1,"""Closed""",31
